,,Mg/Ca,Mg/Ca,Mg/Ca,d18O,d18O,d18O,depthrange,depthrange,ddate,sal,sal,sal,d18Ow,d18Ow,d18Ow,Ctemp_min,Ctemp_min,Ctemp_min,Ctemp_max,Ctemp_max,Ctemp_max,Ctemp_mid,Ctemp_mid,Ctemp_mid
size_fraction,,250-350,350-500,500-1000,250-350,350-500,500-1000,min,max,,min,max,mid,min,max,mid,250-350,350-500,500-1000,250-350,350-500,500-1000,250-350,350-500,500-1000
,Date,,,,,,,,,,,,,,,,,,,,,,,,
G. aequilateralis,1978-05-01,,3.38,,,0.2,,50.0,75.0,3042,36.53+/-0.09,36.52+/-0.09,36.53+/-0.09,1.12+/-0.05,1.12+/-0.05,1.12+/-0.05,nan+/-nan,19.78+/-0.23,nan+/-nan,nan+/-nan,19.78+/-0.23,nan+/-nan,nan+/-nan,19.78+/-0.23,nan+/-nan
G. aequilateralis,1978-07-01,,3.62,3.49,,0.16,0.0,50.0,75.0,3103,36.53+/-0.09,36.52+/-0.09,36.53+/-0.09,1.12+/-0.05,1.12+/-0.05,1.12+/-0.05,nan+/-nan,19.96+/-0.23,20.69+/-0.23,nan+/-nan,19.96+/-0.23,20.68+/-0.23,nan+/-nan,19.96+/-0.23,20.68+/-0.23
G. aequilateralis,1978-09-01,,4.58,4.8,,-0.66,-0.51,50.0,75.0,3165,36.52+/-0.09,36.52+/-0.09,36.52+/-0.09,1.11+/-0.05,1.12+/-0.05,1.12+/-0.05,nan+/-nan,23.70+/-0.24,23.01+/-0.23,nan+/-nan,23.73+/-0.24,23.03+/-0.23,nan+/-nan,23.73+/-0.24,23.03+/-0.23
G. aequilateralis,1979-01-01,,3.73,,,-0.56,,50.0,75.0,3287,36.53+/-0.09,36.52+/-0.09,36.52+/-0.09,1.12+/-0.05,1.12+/-0.05,1.12+/-0.05,nan+/-nan,23.26+/-0.23,nan+/-nan,nan+/-nan,23.26+/-0.23,nan+/-nan,nan+/-nan,23.26+/-0.23,nan+/-nan
G. aequilateralis,1979-04-01,,3.37,,,0.12,,50.0,75.0,3377,36.53+/-0.09,36.52+/-0.09,36.52+/-0.09,1.12+/-0.05,1.12+/-0.05,1.12+/-0.05,nan+/-nan,20.14+/-0.23,nan+/-nan,nan+/-nan,20.13+/-0.23,nan+/-nan,nan+/-nan,20.13+/-0.23,nan+/-nan
G. aequilateralis,1979-06-01,,3.67,4.44,,-0.08,-0.03,50.0,75.0,3438,36.52+/-0.09,36.52+/-0.09,36.52+/-0.09,1.12+/-0.05,1.12+/-0.05,1.12+/-0.05,nan+/-nan,21.05+/-0.23,20.82+/-0.23,nan+/-nan,21.04+/-0.23,20.81+/-0.23,nan+/-nan,21.04+/-0.23,20.81+/-0.23
G. aequilateralis,1979-09-01,,3.67,,,,,50.0,75.0,3530,36.51+/-0.09,36.52+/-0.09,36.52+/-0.09,1.11+/-0.05,1.11+/-0.05,1.11+/-0.05,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan
G. aequilateralis,1979-11-01,,4.5,4.59,,-0.51,-1.28,50.0,75.0,3591,36.52+/-0.09,36.52+/-0.09,36.52+/-0.09,1.12+/-0.05,1.11+/-0.05,1.11+/-0.05,nan+/-nan,23.02+/-0.23,26.66+/-0.24,nan+/-nan,23.01+/-0.23,26.65+/-0.24,nan+/-nan,23.01+/-0.23,26.65+/-0.24
